id,nome,descricao,nivel_de_dificuldade,nivel_de_esforco,numero_de_sequencia,nome,descricao,nivel_de_dificuldade,nivel_de_esforco
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,18,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,19,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,20,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,21,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,22,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,23,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,24,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,25,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,26,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,27,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,28,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,29,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,30,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,31,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,32,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,33,200 m medley,Percurso medley para sprint,6,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,34,200 m livre,Percurso livre,1,1
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,35,200 m medley,Percurso medley para sprint,6,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,36,200 m livre,Percurso livre,1,1
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,37,800 m livre,Percurso livre,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,1,400 m medley,"Percurso clássico de borboleta, costas, peito, crawl",6,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,2,800 m crawl,Percurso crawl para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,3,800 m costas,Percurso costas para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,4,800 m peito,Percurso peito para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,5,800 m borboleta,Percurso borboleta para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,6,800 m crawl,Percurso crawl para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,7,800 m costas,Percurso costas para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,8,800 m peito,Percurso peito para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,9,800 m borboleta,Percurso borboleta para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,10,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,1,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,2,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,3,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,4,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,5,400 m livre,Percurso livre,2,2
